match_id,date,home_team,visitor_team,home_team_score,visitor_team_score,ast,blocks,defensive_rebounds,three_point_pct,field_goal_pct,free_throw_pct,min,oreb,pf,player,player_id,team_id,reb,stl,turnover
459139,2021-08-12,Denver Nuggets,Phoenix Suns,84,90,,,,,,,,,,,,,,,
473363,2021-10-04,Sacramento Kings,Phoenix Suns,117,106,,,,,,,,,,,,,,,
473514,2021-11-02,Phoenix Suns,New Orleans Pelicans,112,100,,,,,,,,,,,,,,,
473576,2021-11-10,Phoenix Suns,Portland Trail Blazers,119,109,,,,,,,,,,,,,,,
473610,2021-11-15,Minnesota Timberwolves,Phoenix Suns,96,99,,,,,,,,,,,,,,,
473630,2021-11-17,Phoenix Suns,Dallas Mavericks,105,98,,,,,,,,,,,,,,,
473691,2021-11-26,New York Knicks,Phoenix Suns,97,118,,,,,,,,,,,,,,,
473813,2021-12-13,LA Clippers,Phoenix Suns,111,95,,,,,,,,,,,,,,,
474072,2022-01-17,San Antonio Spurs,Phoenix Suns,107,121,,,,,,,,,,,,,,,
473441,2021-10-23,Portland Trail Blazers,Phoenix Suns,134,105,,,,,,,,,,,,,,,
473421,2021-10-20,Phoenix Suns,Denver Nuggets,98,110,,,,,,,,,,,,,,,
473605,2021-11-14,Houston Rockets,Phoenix Suns,89,115,,,,,,,,,,,,,,,
473546,2021-11-06,Phoenix Suns,Atlanta Hawks,121,117,,,,,,,,,,,,,,,
473559,2021-11-08,Sacramento Kings,Phoenix Suns,104,109,,,,,,,,,,,,,,,
473496,2021-10-30,Phoenix Suns,Cleveland Cavaliers,101,92,,,,,,,,,,,,,,,
474044,2022-01-14,Indiana Pacers,Phoenix Suns,94,112,,,,,,,,,,,,,,,
474028,2022-01-12,Detroit Pistons,Phoenix Suns,108,135,,,,,,,,,,,,,,,
473585,2021-11-12,Memphis Grizzlies,Phoenix Suns,94,119,,,,,,,,,,,,,,,
473725,2021-11-30,Phoenix Suns,Golden State Warriors,104,96,,,,,,,,,,,,,,,
473824,2021-12-14,Portland Trail Blazers,Phoenix Suns,107,111,,,,,,,,,,,,,,,
473913,2021-12-27,Phoenix Suns,Memphis Grizzlies,113,114,,,,,,,,,,,,,,,
473972,2022-01-04,New Orleans Pelicans,Phoenix Suns,110,123,,,,,,,,,,,,,,,
474394,2022-03-09,Miami Heat,Phoenix Suns,90,111,,,,,,,,,,,,,,,
474507,2022-03-24,Denver Nuggets,Phoenix Suns,130,140,,,,,,,,,,,,,,,
473469,2021-10-27,Phoenix Suns,Sacramento Kings,107,110,,,,,,,,,,,,,,,
473668,2021-11-22,San Antonio Spurs,Phoenix Suns,111,115,,,,,,,,,,,,,,,
473707,2021-11-27,Brooklyn Nets,Phoenix Suns,107,113,,,,,,,,,,,,,,,
473900,2021-12-25,Phoenix Suns,Golden State Warriors,107,116,,,,,,,,,,,,,,,
474139,2022-01-26,Utah Jazz,Phoenix Suns,97,105,,,,,,,,,,,,,,,
473531,2021-11-04,Phoenix Suns,Houston Rockets,123,111,,,,,,,,,,,,,,,
473675,2021-11-24,Cleveland Cavaliers,Phoenix Suns,115,120,,,,,,,,,,,,,,,
473641,2021-11-19,Phoenix Suns,Dallas Mavericks,112,104,,,,,,,,,,,,,,,
473762,2021-12-06,Phoenix Suns,San Antonio Spurs,108,104,,,,,,,,,,,,,,,
473742,2021-12-03,Golden State Warriors,Phoenix Suns,118,96,,,,,,,,,,,,,,,
473739,2021-12-02,Phoenix Suns,Detroit Pistons,114,103,,,,,,,,,,,,,,,
473659,2021-11-21,Phoenix Suns,Denver Nuggets,126,97,,,,,,,,,,,,,,,
463449,2021-08-14,Phoenix Suns,Portland Trail Blazers,79,70,,,,,,,,,,,,,,,
473840,2021-12-16,Phoenix Suns,Washington Wizards,118,98,,,,,,,,,,,,,,,
473891,2021-12-23,Phoenix Suns,Oklahoma City Thunder,113,101,,,,,,,,,,,,,,,
474090,2022-01-20,Dallas Mavericks,Phoenix Suns,101,109,,,,,,,,,,,,,,,
474281,2022-02-15,Phoenix Suns,LA Clippers,103,96,,,,,,,,,,,,,,,
474597,2022-04-05,Phoenix Suns,Los Angeles Lakers,121,110,,,,,,,,,,,,,,,
473796,2021-12-10,Phoenix Suns,Boston Celtics,111,90,,,,,,,,,,,,,,,
473863,2021-12-19,Phoenix Suns,Charlotte Hornets,137,106,,,,,,,,,,,,,,,
473929,2021-12-29,Phoenix Suns,Oklahoma City Thunder,115,97,,,,,,,,,,,,,,,
474152,2022-01-28,Phoenix Suns,Minnesota Timberwolves,134,124,,,,,,,,,,,,,,,
474302,2022-02-24,Oklahoma City Thunder,Phoenix Suns,104,124,,,,,,,,,,,,,,,
474327,2022-02-27,Phoenix Suns,Utah Jazz,114,118,,,,,,,,,,,,,,,
474412,2022-03-11,Phoenix Suns,Toronto Raptors,112,117,,,,,,,,,,,,,,,
474565,2022-04-01,Memphis Grizzlies,Phoenix Suns,122,114,,,,,,,,,,,,,,,
473941,2021-12-31,Boston Celtics,Phoenix Suns,123,108,,,,,,,,,,,,,,,
473877,2021-12-21,Los Angeles Lakers,Phoenix Suns,90,108,,,,,,,,,,,,,,,
474000,2022-01-08,Phoenix Suns,Miami Heat,100,123,,,,,,,,,,,,,,,
474176,2022-02-01,Phoenix Suns,Brooklyn Nets,121,111,,,,,,,,,,,,,,,
474496,2022-03-23,Minnesota Timberwolves,Phoenix Suns,116,125,,,,,,,,,,,,,,,
474525,2022-03-27,Phoenix Suns,Philadelphia 76ers,114,104,,,,,,,,,,,,,,,
474600,2022-04-06,LA Clippers,Phoenix Suns,113,109,,,,,,,,,,,,,,,
473956,2022-01-02,Charlotte Hornets,Phoenix Suns,99,133,,,,,,,,,,,,,,,
474103,2022-01-22,Phoenix Suns,Indiana Pacers,113,103,,,,,,,,,,,,,,,
474120,2022-01-24,Phoenix Suns,Utah Jazz,115,109,,,,,,,,,,,,,,,
474166,2022-01-30,Phoenix Suns,San Antonio Spurs,115,110,,,,,,,,,,,,,,,
474218,2022-02-07,Chicago Bulls,Phoenix Suns,124,127,,,,,,,,,,,,,,,
474204,2022-02-05,Washington Wizards,Phoenix Suns,80,95,,,,,,,,,,,,,,,
474241,2022-02-10,Phoenix Suns,Milwaukee Bucks,131,107,,,,,,,,,,,,,,,
474223,2022-02-08,Philadelphia 76ers,Phoenix Suns,109,114,,,,,,,,,,,,,,,
474359,2022-03-04,Phoenix Suns,New York Knicks,115,114,,,,,,,,,,,,,,,
474439,2022-03-15,New Orleans Pelicans,Phoenix Suns,115,131,,,,,,,,,,,,,,,
474290,2022-02-16,Phoenix Suns,Houston Rockets,124,121,,,,,,,,,,,,,,,
474263,2022-02-12,Phoenix Suns,Orlando Magic,132,105,,,,,,,,,,,,,,,
474305,2022-02-25,Phoenix Suns,New Orleans Pelicans,102,117,,,,,,,,,,,,,,,
474346,2022-03-02,Phoenix Suns,Portland Trail Blazers,120,90,,,,,,,,,,,,,,,
474427,2022-03-13,Phoenix Suns,Los Angeles Lakers,140,111,,,,,,,,,,,,,,,
474464,2022-03-18,Phoenix Suns,Chicago Bulls,129,102,,,,,,,,,,,,,,,
474471,2022-03-20,Sacramento Kings,Phoenix Suns,124,127,,,,,,,,,,,,,,,
474582,2022-04-03,Oklahoma City Thunder,Phoenix Suns,117,96,,,,,,,,,,,,,,,
474190,2022-02-03,Atlanta Hawks,Phoenix Suns,124,115,,,,,,,,,,,,,,,
474372,2022-03-06,Milwaukee Bucks,Phoenix Suns,132,122,,,,,,,,,,,,,,,
474386,2022-03-08,Orlando Magic,Phoenix Suns,99,102,,,,,,,,,,,,,,,
474445,2022-03-16,Houston Rockets,Phoenix Suns,112,129,,,,,,,,,,,,,,,
474612,2022-04-08,Utah Jazz,Phoenix Suns,105,111,,,,,,,,,,,,,,,
473432,2021-10-22,Los Angeles Lakers,Phoenix Suns,105,115,,,,,,,,,,,,,,,
474553,2022-03-30,Golden State Warriors,Phoenix Suns,103,107,,,,,,,,,,,,,,,
451511,2021-08-08,Phoenix Suns,Los Angeles Lakers,72,73,,,,,,,,,,,,,,,
452668,2021-08-09,Utah Jazz,Phoenix Suns,63,57,,,,,,,,,,,,,,,
473987,2022-01-06,Phoenix Suns,LA Clippers,106,89,,,,,,,,,,,,,,,
474023,2022-01-11,Toronto Raptors,Phoenix Suns,95,99,,,,,,,,,,,,,,,
474638,2022-04-10,Phoenix Suns,Sacramento Kings,109,116,,,,,,,,,,,,,,,
846095,2022-05-04,Phoenix Suns,Dallas Mavericks,129,109,,,,,,,,,,,,,,,
834978,2022-04-19,Phoenix Suns,New Orleans Pelicans,114,125,,,,,,,,,,,,,,,
832818,2022-04-17,Phoenix Suns,New Orleans Pelicans,110,99,,,,,,,,,,,,,,,
844943,2022-05-02,Phoenix Suns,Dallas Mavericks,121,114,,,,,,,,,,,,,,,
837568,2022-04-22,New Orleans Pelicans,Phoenix Suns,111,114,,,,,,,,,,,,,,,
843183,2022-04-28,New Orleans Pelicans,Phoenix Suns,109,115,,,,,,,,,,,,,,,
839441,2022-04-24,New Orleans Pelicans,Phoenix Suns,118,103,,,,,,,,,,,,,,,
841600,2022-04-26,Phoenix Suns,New Orleans Pelicans,112,97,,,,,,,,,,,,,,,
846955,2022-05-06,Dallas Mavericks,Phoenix Suns,103,94,,,,,,,,,,,,,,,
850125,2022-05-12,Dallas Mavericks,Phoenix Suns,113,86,,,,,,,,,,,,,,,
848973,2022-05-10,Phoenix Suns,Dallas Mavericks,110,80,,,,,,,,,,,,,,,
851564,2022-05-15,Phoenix Suns,Dallas Mavericks,90,123,,,,,,,,,,,,,,,
847821,2022-05-08,Dallas Mavericks,Phoenix Suns,111,101,,,,,,,,,,,,,,,
